"State","HispanicTotal","HispanicPerc"
"Puerto Rico","3349340","1.1046"
"New Mexico","1015750","0.4845"
"California","15221600","0.3811"
"Texas","10921600","0.3706"
"Arizona","2163310","0.2932"
"Nevada","831597","0.2649"
"Florida","5184720","0.2357"
"Colorado","1184790","0.2027"
"New Jersey","1768020","0.1978"
"New York","3705590","0.1906"
"Illinois","2174840","0.1718"
"Connecticut","561791","0.1577"
"Rhode Island","158858","0.1504"
"Utah","422123","0.1286"
"Oregon","523956","0.1218"
"Kansas","340616","0.1170"
"Washington","911573","0.1169"
"Idaho","209073","0.1145"
"Massachusetts","789127","0.1131"
"Hawaii","147962","0.1047"
"Nebraska","203281","0.1041"
"Washington DC","74776","0.1038"
"Oklahoma","407521","0.1030"
"Wyoming","56966","0.1005"
"Maryland","588912","0.0968"
"Georgia","968463","0.0902"
"Virginia","771177","0.0894"
"North Carolina","935950","0.0882"
"Delaware","86315","0.0878"
"Arkansas","219052","0.0721"
"Pennsylvania","905156","0.0706"
"Alaska","51186","0.0697"
"Indiana","450267","0.0668"
"Wisconsin","385779","0.0659"
"Iowa","183296","0.0576"
"South Carolina","275685","0.0529"
"Minnesota","292764","0.0514"
"Tennessee","352402","0.0511"
"Louisiana","234920","0.0506"
"Michigan","497897","0.0496"
"Alabama","203146","0.0414"
"Missouri","249105","0.0404"
"Ohio","431327","0.0367"
"Montana","39019","0.0359"
"South Dakota","31995","0.0354"
"Kentucky","158744","0.0353"
"New Hampshire","48356","0.0353"
"North Dakota","26529","0.0348"
"Mississippi","90493","0.0303"
"Vermont","11677","0.0186"
"Maine","21421","0.0159"
"West Virginia","27522","0.0155"